,START,DUR,LABEL,LABEL_NUM,DUR_TRANS
210,561.492,2.501,CHILD,1,2.501
212,565.5219999999999,0.37799999999999995,ADULT,-1,-0.37799999999999995
214,572.187,1.331,ADULT,-1,-1.331
215,587.137,0.6679999999999999,CHILD,1,0.6679999999999999
216,593.222,0.769,CHILD,1,0.769
217,607.952,0.8959999999999999,CHILD,1,0.8959999999999999
219,624.993,8.365,ADULT,-1,-8.365
221,632.492,0.474,ADULT,-1,-0.474
222,638.012,1.09,ADULT,-1,-1.09
224,640.511,6.482,ADULT,-1,-6.482
227,649.507,2.985,ADULT,-1,-2.985
230,657.07,0.42200000000000004,ADULT,-1,-0.42200000000000004
