,START,DUR,LABEL,LABEL_NUM,DUR_TRANS
368,492.207,2.199,CHILD,1,2.199
369,494.731,0.872,ADULT,-1,-0.872
370,495.51099999999997,1.325,ADULT,-1,-1.325
371,495.99199999999996,2.862,CHILD,1,2.862
372,499.07300000000004,2.133,CHILD,1,2.133
373,501.971,2.366,ADULT,-1,-2.366
375,505.62699999999995,2.01,ADULT,-1,-2.01
376,508.17900000000003,1.331,CHILD,1,1.331
377,508.49300000000005,4.654,CHILD,1,4.654
378,510.027,2.411,CHILD,1,2.411
379,513.1519999999999,2.84,ADULT,-1,-2.84
380,515.992,0.748,CHILD,1,0.748
381,516.684,1.517,ADULT,-1,-1.517
382,518.068,0.943,CHILD,1,0.943
383,519.011,5.447,ADULT,-1,-5.447
384,523.992,3.0189999999999997,CHILD,1,3.0189999999999997
385,525.012,0.7709999999999999,CHILD,1,0.7709999999999999
386,526.012,0.363,CHILD,1,0.363
387,526.51,4.46,ADULT,-1,-4.46
390,535.992,1.6640000000000001,ADULT,-1,-1.6640000000000001
392,538.0,1.374,ADULT,-1,-1.374
394,541.492,0.52,ADULT,-1,-0.52
395,545.408,0.7170000000000001,ADULT,-1,-0.7170000000000001
397,546.124,0.9009999999999999,ADULT,-1,-0.9009999999999999
399,549.011,2.481,ADULT,-1,-2.481
400,551.011,1.625,ADULT,-1,-1.625
401,552.515,2.977,CHILD,1,2.977
402,552.695,1.787,CHILD,1,1.787
403,554.602,0.91,CHILD,1,0.91
404,555.927,0.9840000000000001,ADULT,-1,-0.9840000000000001
406,558.185,3.677,CHILD,1,3.677
407,558.998,1.3030000000000002,CHILD,1,1.3030000000000002
408,562.511,0.915,ADULT,-1,-0.915
409,563.441,1.202,CHILD,1,1.202
410,563.8530000000001,0.133,CHILD,1,0.133
411,564.558,2.9530000000000003,ADULT,-1,-2.9530000000000003
412,566.492,0.23800000000000002,ADULT,-1,-0.23800000000000002
413,567.164,0.5379999999999999,ADULT,-1,-0.5379999999999999
414,571.011,3.304,ADULT,-1,-3.304
417,574.786,7.705,CHILD,1,7.705
418,581.492,1.949,CHILD,1,1.949
421,584.602,2.98,CHILD,1,2.98
422,588.107,2.066,ADULT,-1,-2.066
423,588.293,0.18899999999999997,ADULT,-1,-0.18899999999999997
424,589.304,0.7070000000000001,CHILD,1,0.7070000000000001
425,590.7180000000001,2.611,ADULT,-1,-2.611
427,594.238,2.395,ADULT,-1,-2.395
428,595.04,2.128,ADULT,-1,-2.128
430,599.493,1.5190000000000001,ADULT,-1,-1.5190000000000001
431,599.513,0.35100000000000003,ADULT,-1,-0.35100000000000003
432,600.225,2.577,ADULT,-1,-2.577
433,601.351,0.142,ADULT,-1,-0.142
434,602.512,1.819,ADULT,-1,-1.819
436,604.69,0.511,ADULT,-1,-0.511
437,606.918,2.84,CHILD,1,2.84
439,611.371,8.097999999999999,CHILD,1,8.097999999999999
441,616.769,0.705,CHILD,1,0.705
442,617.716,0.256,CHILD,1,0.256
443,618.882,0.528,CHILD,1,0.528
444,619.618,1.416,ADULT,-1,-1.416
446,621.6619999999999,2.157,ADULT,-1,-2.157
447,621.992,0.231,ADULT,-1,-0.231
449,624.491,1.8019999999999998,CHILD,1,1.8019999999999998
451,629.3580000000001,1.1340000000000001,CHILD,1,1.1340000000000001
452,631.0509999999999,1.016,ADULT,-1,-1.016
454,633.995,1.922,CHILD,1,1.922
455,635.992,2.18,ADULT,-1,-2.18
