4.49	6.13
18.98	19.58
22.81	23.82
30.91	31.91
35.21	36.21
49.33	50.33
57.54	58.54
59.40	61.48
63.56	65.74
66.55	68.95
69.78	71.23
74.13	75.21
76.01	77.75
77.75	78.37
79.17	80.81
83.92	84.92
88.70	89.70
99.02	100.02
120.58	122.69
123.53	125.00
125.80	126.97
135.25	136.25
138.69	139.69
140.80	142.30
157.20	158.72
160.49	161.90
164.79	165.79
166.60	167.81
167.81	168.41
170.64	171.65
174.09	175.49
177.22	178.26
179.75	180.75
187.94	188.54
213.49	214.73
216.92	217.92
222.04	223.14
230.47	231.90
234.64	235.64
252.84	254.06
254.98	255.98
257.50	258.50
259.58	260.18
262.37	263.37
269.58	270.26
270.26	271.26
274.25	274.85
283.31	284.31
286.10	287.32
293.73	294.73
300.92	301.96
304.48	306.69
306.69	307.69
307.69	308.94
308.94	309.55
310.35	311.42
312.30	313.84
316.19	317.41
321.76	324.60
330.20	331.88
333.28	335.14
339.03	340.20
342.89	345.12
347.84	349.17
349.97	351.11
352.72	353.90
353.90	354.90
354.90	358.64
358.64	361.63
364.05	365.05
367.60	368.23
369.08	371.50
372.90	373.90
382.28	383.80
407.73	409.05
410.55	411.19
463.96	465.05
469.46	470.46
474.22	474.82
474.82	475.99
477.19	478.16
478.16	481.11
485.94	486.94
486.94	488.14
488.14	488.74
489.54	492.53
498.43	499.67
